N,Average time (seconds)
100,0.000483898
600,0.0104939
1100,0.0185708
1600,0.0349792
2100,0.0608334
2600,0.092711
3100,0.137646
3600,0.193177
4100,0.252963
4600,0.322568
5100,0.42541
5600,0.524012
6100,0.636835
6600,0.772894
7100,0.893563
7600,1.06535
8100,1.25007
8600,1.43923
9100,1.62984
9600,1.83493
10100,2.08426
10600,2.42729
11100,2.66838
11600,2.89754
12100,3.18471
12600,3.45496
13100,3.82672
13600,4.20129
14100,4.58167
14600,5.07337
15100,5.57134
15600,5.84661
16100,6.29004
16600,6.7124
